trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.1302755556382,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.0014792899408284023}",30,8,5.074306492728147,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 6.420529257067719e-07}",25,12,-35.88671773118559,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.7254848849953558e-10}",35,0,-46.82166878336486,"{0: 27, 1: 4, 2: 2, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.8722709255591968e-14}",30,1,-53.43329532101792,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.1982533923578859e-18}",20,2,-41.889009266721736,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 5.859716330176956e-23}",20,14,6.702688770264417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 2.6393929688648962e-27}",25,0,0.279190567832458,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 8.717773050815484e-32}",20,0,25.91097946179211,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 2.316338891172145e-36}",20,0,13.369980671085841,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 5.057950238387949e-41}",20,5,13.994828338468201,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 9.645030106954384e-46}",20,0,-18.184677255746095,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.5556249265260856e-50}",25,0,-60.87184767143986,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 2.072066874268855e-55}",20,0,-5.467654648422275,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
