trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-111.2451948268714,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-155.53632696701342,"{0: 7, 1: 6, 2: 3, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,0,-138.41822862964628,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-88.5060771583722,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-123.35940121408662,"{0: 9, 1: 1, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-97.3269967121947,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,0,-49.01307687910155,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.96}",35,0,-327.36791673277526,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.955}",35,0,-127.65719029275306,"{0: 25, 1: 1, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-65.13513780713177,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",30,0,-231.64405415234268,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.94}",30,3,-103.8374799206465,"{0: 18, 1: 3, 2: 3, 3: 2, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,9,-89.95120687400794,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-186.38601083406652,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-120.17925964124395,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
