trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.99305890153013,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-37.656977148165815,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,4,-45.62750721987343,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,2,-101.68268537675326,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-51.44161791048399,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-173.22414706470363,"{0: 12, 1: 5, 2: 3, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.28107964501153,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.4539492549443,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-137.9510012363291,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.28293970980346,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,7,-108.18905476858552,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,2,-133.99332329478293,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.3996463387519,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.161587802047105,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.79072338755124,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.95851793401272,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.09224450071387,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,10,-35.96647070835601,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.09059672252354,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.5406574039661,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.80093996807251,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-146.60146152386002,"{0: 16, 1: 2, 2: 11, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.5276312767838,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.30204281646525,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-141.21848483521003,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.72944941757765,"{0: 15, 1: 4, 2: 6, 3: 4, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-210.1898757010235,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.87876074136372,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.32218320454619,"{0: 15, 1: 0, 2: 0, 3: 3, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.91336893488202,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
